,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
182234,189058,Alogliptin 12.5mg tablets,Alogliptin 12.5mg tablets,,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
262636,269929,Alogliptin 12.5mg tablets (Colorama Pharmaceuticals Ltd),Alogliptin 12.5mg tablets (Colorama Pharmaceuticals Ltd),,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,t,f,,189058,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
262637,269930,Alogliptin 12.5mg tablets (Colorama Pharmaceuticals Ltd),Alogliptin 12.5mg tablets (Colorama Pharmaceuticals Ltd) 28 tablet,,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,269929,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248914,256027,Alogliptin 12.5mg tablets (Ennogen Healthcare Ltd),Alogliptin 12.5mg tablets (Ennogen Healthcare Ltd),,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,t,f,,189058,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248915,256028,Alogliptin 12.5mg tablets (Ennogen Healthcare Ltd),Alogliptin 12.5mg tablets (Ennogen Healthcare Ltd) 28 tablet,,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,256027,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252453,259620,Alogliptin 12.5mg tablets (J M McGill Ltd),Alogliptin 12.5mg tablets (J M McGill Ltd),,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,t,f,,189058,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252454,259621,Alogliptin 12.5mg tablets (J M McGill Ltd),Alogliptin 12.5mg tablets (J M McGill Ltd) 28 tablet,,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,259620,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260295,267554,Alogliptin 12.5mg tablets (Niche Pharma Ltd),Alogliptin 12.5mg tablets (Niche Pharma Ltd),,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,t,f,,189058,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260296,267555,Alogliptin 12.5mg tablets (Niche Pharma Ltd),Alogliptin 12.5mg tablets (Niche Pharma Ltd) 28 tablet,,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,267554,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
182237,189061,Alogliptin 25mg tablets,Alogliptin 25mg tablets,,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
262638,269931,Alogliptin 25mg tablets (Colorama Pharmaceuticals Ltd),Alogliptin 25mg tablets (Colorama Pharmaceuticals Ltd),,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,0,,0,,t,f,,189061,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
262639,269932,Alogliptin 25mg tablets (Colorama Pharmaceuticals Ltd),Alogliptin 25mg tablets (Colorama Pharmaceuticals Ltd) 28 tablet,,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,269931,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248916,256029,Alogliptin 25mg tablets (Ennogen Healthcare Ltd),Alogliptin 25mg tablets (Ennogen Healthcare Ltd),,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,0,,0,,t,f,,189061,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248917,256030,Alogliptin 25mg tablets (Ennogen Healthcare Ltd),Alogliptin 25mg tablets (Ennogen Healthcare Ltd) 28 tablet,,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,256029,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252455,259622,Alogliptin 25mg tablets (J M McGill Ltd),Alogliptin 25mg tablets (J M McGill Ltd),,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,0,,0,,t,f,,189061,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252456,259623,Alogliptin 25mg tablets (J M McGill Ltd),Alogliptin 25mg tablets (J M McGill Ltd) 28 tablet,,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,259622,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260297,267556,Alogliptin 25mg tablets (Niche Pharma Ltd),Alogliptin 25mg tablets (Niche Pharma Ltd),,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,0,,0,,t,f,,189061,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260298,267557,Alogliptin 25mg tablets (Niche Pharma Ltd),Alogliptin 25mg tablets (Niche Pharma Ltd) 28 tablet,,INUK.2950,A10BH04,,25,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,267556,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
182215,189039,Alogliptin 6.25mg tablets,Alogliptin 6.25mg tablets,,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248918,256031,Alogliptin 6.25mg tablets (Ennogen Healthcare Ltd),Alogliptin 6.25mg tablets (Ennogen Healthcare Ltd),,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,0,,0,,t,f,,189039,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
248919,256032,Alogliptin 6.25mg tablets (Ennogen Healthcare Ltd),Alogliptin 6.25mg tablets (Ennogen Healthcare Ltd) 28 tablet,,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,256031,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252457,259624,Alogliptin 6.25mg tablets (J M McGill Ltd),Alogliptin 6.25mg tablets (J M McGill Ltd),,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,0,,0,,t,f,,189039,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
252458,259625,Alogliptin 6.25mg tablets (J M McGill Ltd),Alogliptin 6.25mg tablets (J M McGill Ltd) 28 tablet,,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,259624,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260299,267558,Alogliptin 6.25mg tablets (Niche Pharma Ltd),Alogliptin 6.25mg tablets (Niche Pharma Ltd),,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,0,,0,,t,f,,189039,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
260300,267559,Alogliptin 6.25mg tablets (Niche Pharma Ltd),Alogliptin 6.25mg tablets (Niche Pharma Ltd) 28 tablet,,INUK.2950,A10BH04,,6.2,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,267558,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
333349,342725,Vipidia 12.5mg tablets (CST Pharma Ltd),Vipidia 12.5mg tablets (CST Pharma Ltd),Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,f,f,,189058,0,,UK,IN,D ,66431,10/09/2019,04/05/2020,V
335208,344708,Vipidia 12.5mg tablets (CST Pharma Ltd),Vipidia 12.5mg tablets (CST Pharma Ltd) 28 tablet,Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342725,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
339182,348799,Vipidia 12.5mg tablets (DE Pharmaceuticals),Vipidia 12.5mg tablets (DE Pharmaceuticals),Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,f,f,,189058,0,,UK,IN,D ,66431,01/04/2020,04/05/2020,V
339183,348800,Vipidia 12.5mg tablets (DE Pharmaceuticals),Vipidia 12.5mg tablets (DE Pharmaceuticals) 28 tablet,Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,348799,0,,UK,IN,D ,66431,01/04/2020,04/05/2020,V
333429,342804,Vipidia 12.5mg tablets (Ethigen Ltd),Vipidia 12.5mg tablets (Ethigen Ltd),Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,f,f,,189058,0,,UK,IN,D ,78895,10/10/2019,10/07/2020,V
335922,345426,Vipidia 12.5mg tablets (Ethigen Ltd),Vipidia 12.5mg tablets (Ethigen Ltd) 28 tablet,Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342804,0,,UK,IN,D ,78895,05/12/2019,10/07/2020,V
337081,346616,Vipidia 12.5mg tablets (Pharmaram Ltd),Vipidia 12.5mg tablets (Pharmaram Ltd),Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,0,,0,,f,f,,189058,0,,UK,IN,D ,66431,18/01/2020,04/05/2020,V
337719,347270,Vipidia 12.5mg tablets (Pharmaram Ltd),Vipidia 12.5mg tablets (Pharmaram Ltd) 28 tablet,Vipidia,INUK.2950,A10BH04,,12.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,346616,0,,UK,IN,D ,66431,12/02/2020,04/05/2020,V
