,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
149,183,Amlodipine 5mg tablets,Amlodipine 5mg tablets,,INUK.1267,C08CA01,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
204,284,Trandolapril 1mg capsules,Trandolapril 1mg capsules,,INUK.1273,C09AA10,,1.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
217,297,Trandolapril 2mg capsules,Trandolapril 2mg capsules,,INUK.1273,C09AA10,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
246,338,Candesartan 2mg tablets,Candesartan 2mg tablets,,INUK.1284,C09CA06,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
266,369,Captopril 12.5mg tablets (Teva UK Ltd),Captopril 12.5mg tablets (Teva UK Ltd),,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,362.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
267,370,Captopril 12.5mg tablets (Teva UK Ltd),Captopril 12.5mg tablets (Teva UK Ltd) 56 tablet4 x 14 tablets,,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,56.0,INUK.428673006,0.0,,t,f,,369.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
277,380,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Acepril,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,362.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
278,381,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) 56 tablet4 x 14 tablets,Acepril,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,56.0,INUK.428673006,0.0,,f,f,,380.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
279,382,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) 100 tablet,Acepril,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,100.0,INUK.428673006,0.0,,f,f,,380.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
284,387,Captopril 12.5mg tablets (Viatris UK Healthcare Ltd),Captopril 12.5mg tablets (Viatris UK Healthcare Ltd),,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,362.0,0.0,,UK,IN,D ,159313,2018-10-02,2022-02-10,V
285,388,Captopril 12.5mg tablets (Viatris UK Healthcare Ltd),Captopril 12.5mg tablets (Viatris UK Healthcare Ltd) 56 tablet,,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,56.0,INUK.428673006,0.0,,t,f,,387.0,0.0,,UK,IN,D ,159313,2018-10-02,2022-02-10,V
288,391,Tensopril 12.5mg tablets (Teva UK Ltd),Tensopril 12.5mg tablets (Teva UK Ltd),Tensopril,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,362.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
289,392,Tensopril 12.5mg tablets (Teva UK Ltd),Tensopril 12.5mg tablets (Teva UK Ltd) 56 tablet4 x 14 tablets,Tensopril,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,56.0,INUK.428673006,0.0,,f,f,,391.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
290,393,Captopril 12.5mg tablets (Kent Pharma (UK) Ltd),Captopril 12.5mg tablets (Kent Pharma (UK) Ltd),,INUK.1509,C09AA01,,12.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,362.0,0.0,,UK,IN,D ,137262,2018-10-02,2021-07-10,V
