,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
6,7,Simvastatin 10mg tablets,Simvastatin 10mg tablets,,INUK.1839,C10AA01,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
7,8,Zocor 10mg tablets (Organon Pharma (UK) Ltd),Zocor 10mg tablets (Organon Pharma (UK) Ltd),Zocor,INUK.1839,C10AA01,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,7.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
8,9,Zocor 10mg tablets (Organon Pharma (UK) Ltd),Zocor 10mg tablets (Organon Pharma (UK) Ltd) 28 tablet2 x 14 tablets,Zocor,INUK.1839,C10AA01,,10.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,8.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
9,10,Simvastatin 20mg tablets,Simvastatin 20mg tablets,,INUK.1839,C10AA01,,20.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
10,11,Zocor 20mg tablets (Organon Pharma (UK) Ltd),Zocor 20mg tablets (Organon Pharma (UK) Ltd),Zocor,INUK.1839,C10AA01,,20.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,10.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
11,12,Zocor 20mg tablets (Organon Pharma (UK) Ltd),Zocor 20mg tablets (Organon Pharma (UK) Ltd) 28 tablet2 x 14 tablets,Zocor,INUK.1839,C10AA01,,20.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,11.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
12,13,Simvastatin 40mg tablets,Simvastatin 40mg tablets,,INUK.1839,C10AA01,,40.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
13,14,Zocor 40mg tablets (Organon Pharma (UK) Ltd),Zocor 40mg tablets (Organon Pharma (UK) Ltd),Zocor,INUK.1839,C10AA01,,40.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,13.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
14,15,Zocor 40mg tablets (Organon Pharma (UK) Ltd),Zocor 40mg tablets (Organon Pharma (UK) Ltd) 28 tablet2 x 14 tablets,Zocor,INUK.1839,C10AA01,,40.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,14.0,0.0,,UK,IN,D ,118515,2018-10-02,2021-02-10,V
94,202,Atorvastatin 10mg tablets,Atorvastatin 10mg tablets,,INUK.3507,C10AA05,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
