,short_name,count,product_id,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
0,Warfarin 1mg tablets,11187,3885,Warfarin 1mg tablets,,INUK.2868,B01AA03,,1.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
1,Warfarin 3mg tablets,9093,3878,Warfarin 3mg tablets,,INUK.2868,B01AA03,,3.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2,Apixaban 5mg tablets,7506,327356,Apixaban 5mg tablets,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,33394,2018-10-03,2018-10-03,V
3,Apixaban 5mg tablets,7506,172458,Apixaban 5mg tablets,,INUK.3575,B01AF02,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
4,Rivaroxaban 20mg tablets,5130,157398,Rivaroxaban 20mg tablets,,INUK.2598,B01AF01,,20.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
5,Apixaban 2.5mg tablets,4272,154683,Apixaban 2.5mg tablets,,INUK.3575,B01AF02,,2.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
6,Apixaban 2.5mg tablets,4272,327336,Apixaban 2.5mg tablets,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,33394,2018-10-03,2018-10-03,V
7,Warfarin 5mg tablets,3284,3944,Warfarin 5mg tablets,,INUK.2868,B01AA03,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
8,Rivaroxaban 15mg tablets,2610,157393,Rivaroxaban 15mg tablets,,INUK.2598,B01AF01,,15.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
9,Warfarin 500microgram tablets,1500,12602,Warfarin 500microgram tablets,,INUK.2868,B01AA03,,500.0,INUK.258685003,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
10,Edoxaban 60mg tablets,973,246713,Edoxaban 60mg tablets,,INUK.4375,B01AF03,,60.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,213896,2018-10-02,2023-01-10,V
11,Edoxaban 30mg tablets,745,246710,Edoxaban 30mg tablets,,INUK.4375,B01AF03,,30.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,213896,2018-10-02,2023-01-10,V
12,Dabigatran etexilate 150mg capsules,534,154389,Dabigatran etexilate 150mg capsules,,INUK.3616,B01AE07,,150.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
