,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
186361,193200,Canagliflozin 100mg tablets,Canagliflozin 100mg tablets,,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
297856,306839,Canagliflozin 100mg tablets,Canagliflozin 100mg tablets,,,,,0,,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,33381,02/10/2018,02/10/2018,V
356895,360865,Canagliflozin 100mg tablets,Canagliflozin 100mg tablets,,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,137192,10/06/2021,09/07/2021,V
229948,236816,Canagliflozin 100mg tablets (Colorama Pharmaceuticals Ltd),Canagliflozin 100mg tablets (Colorama Pharmaceuticals Ltd),,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,0,,0,,t,f,,360865,0,,UK,IN,D ,134448,02/10/2018,10/06/2021,V
229949,236817,Canagliflozin 100mg tablets (Colorama Pharmaceuticals Ltd),Canagliflozin 100mg tablets (Colorama Pharmaceuticals Ltd) 30 tablet,,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,30,INUK.428673006,0,,t,f,,236816,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
238107,245018,Canagliflozin 100mg tablets (J M McGill Ltd),Canagliflozin 100mg tablets (J M McGill Ltd),,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,0,,0,,t,f,,360865,0,,UK,IN,D ,134448,02/10/2018,10/06/2021,V
238108,245019,Canagliflozin 100mg tablets (J M McGill Ltd),Canagliflozin 100mg tablets (J M McGill Ltd) 30 tablet,,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,30,INUK.428673006,0,,t,f,,245018,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
239361,246314,Canagliflozin 100mg tablets (Niche Pharma Ltd),Canagliflozin 100mg tablets (Niche Pharma Ltd),,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,0,,0,,t,f,,360865,0,,UK,IN,D ,134448,02/10/2018,10/06/2021,V
239362,246315,Canagliflozin 100mg tablets (Niche Pharma Ltd),Canagliflozin 100mg tablets (Niche Pharma Ltd) 30 tablet,,INUK.3511,A10BK02,,100,INUK.258684004,0,,0,,30,INUK.428673006,0,,t,f,,246314,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
186358,193197,Canagliflozin 300mg tablets,Canagliflozin 300mg tablets,,INUK.3511,A10BK02,,300,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
