,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
96433,100993,Vildagliptin 50mg / Metformin 1g tablets,Vildagliptin 50mg / Metformin 1g tablets,,INUK.123,A10BD08,,1,INUK.258682000,50,INUK.258684004,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96434,100994,Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas,INUK.123,A10BD08,,1,INUK.258682000,50,INUK.258684004,0,,0,,0,,f,f,,100993,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96435,100995,Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd) 60 tablet6 x 10 tablets,Eucreas,INUK.123,A10BD08,,1,INUK.258682000,50,INUK.258684004,0,,60,INUK.428673006,0,,f,f,,100994,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96436,100996,Vildagliptin 50mg / Metformin 850mg tablets,Vildagliptin 50mg / Metformin 850mg tablets,,INUK.123,A10BD08,,850,INUK.258684004,50,INUK.258684004,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96437,100997,Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas,INUK.123,A10BD08,,850,INUK.258684004,50,INUK.258684004,0,,0,,0,,f,f,,100996,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96438,100998,Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd),Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd) 60 tablet6 x 10 tablets,Eucreas,INUK.123,A10BD08,,850,INUK.258684004,50,INUK.258684004,0,,60,INUK.428673006,0,,f,f,,100997,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
125170,133287,Metformin 1g / Sitagliptin 50mg tablets,Metformin 1g / Sitagliptin 50mg tablets,,INUK.122,A10BD07,,1,INUK.258682000,50,INUK.258684004,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
127999,133288,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd),Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd),Janumet,INUK.122,A10BD07,,1,INUK.258682000,50,INUK.258684004,0,,0,,0,,f,f,,133287,0,,UK,IN,D ,118515,02/10/2018,10/02/2021,V
128000,133289,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd),Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd) 56 tablet4 x 14 tablets,Janumet,INUK.122,A10BD07,,1,INUK.258682000,50,INUK.258684004,0,,56,INUK.428673006,0,,f,f,,133288,0,,UK,IN,D ,118515,02/10/2018,10/02/2021,V
131805,137144,Eucreas 50mg/1000mg tablets (Mawdsley-Brooks & Company Ltd),Eucreas 50mg/1000mg tablets (Mawdsley-Brooks & Company Ltd),Eucreas,INUK.123,A10BD08,,1,INUK.258682000,50,INUK.258684004,0,,0,,0,,f,f,,100993,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
