,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
165555,171956,Dapagliflozin 10mg tablets,Dapagliflozin 10mg tablets,,INUK.3828,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
318368,327354,Dapagliflozin 10mg tablets,Dapagliflozin 10mg tablets,,,,,0,,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,33394,03/10/2018,03/10/2018,V
356888,360858,Dapagliflozin 10mg tablets,Dapagliflozin 10mg tablets,,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,152170,10/06/2021,10/10/2021,V
165552,171953,Dapagliflozin 5mg tablets,Dapagliflozin 5mg tablets,,INUK.3828,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
318369,327355,Dapagliflozin 5mg tablets,Dapagliflozin 5mg tablets,,,,,0,,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,33394,03/10/2018,03/10/2018,V
356887,360857,Dapagliflozin 5mg tablets,Dapagliflozin 5mg tablets,,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,152170,10/06/2021,10/10/2021,V
165556,171957,Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
165557,171958,Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga 10mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,171957,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
332632,341996,Forxiga 10mg tablets (CST Pharma Ltd),Forxiga 10mg tablets (CST Pharma Ltd),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,16/08/2019,10/10/2021,V
334788,344294,Forxiga 10mg tablets (CST Pharma Ltd),Forxiga 10mg tablets (CST Pharma Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,341996,0,,UK,IN,D ,152170,05/12/2019,10/10/2021,V
334789,344295,Forxiga 10mg tablets (CST Pharma Ltd),Forxiga 10mg tablets (CST Pharma Ltd) 30 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,341996,0,,UK,IN,D ,152170,05/12/2019,10/10/2021,V
338733,348335,Forxiga 10mg tablets (DE Pharmaceuticals),Forxiga 10mg tablets (DE Pharmaceuticals),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,06/03/2020,10/10/2021,V
338734,348336,Forxiga 10mg tablets (DE Pharmaceuticals),Forxiga 10mg tablets (DE Pharmaceuticals) 28 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,348335,0,,UK,IN,D ,152170,06/03/2020,10/10/2021,V
338735,348337,Forxiga 10mg tablets (DE Pharmaceuticals),Forxiga 10mg tablets (DE Pharmaceuticals) 30 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,348335,0,,UK,IN,D ,152170,06/03/2020,10/10/2021,V
333809,343206,Forxiga 10mg tablets (Ethigen Ltd),Forxiga 10mg tablets (Ethigen Ltd),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,10/10/2019,10/10/2021,V
342695,345237,Forxiga 10mg tablets (Ethigen Ltd),Forxiga 10mg tablets (Ethigen Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,343206,0,,UK,IN,D ,152170,05/12/2019,10/10/2021,V
342696,345238,Forxiga 10mg tablets (Ethigen Ltd),Forxiga 10mg tablets (Ethigen Ltd) 30 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,343206,0,,UK,IN,D ,152170,05/12/2019,10/10/2021,V
328653,337876,Forxiga 10mg tablets (Pharmaram Ltd),Forxiga 10mg tablets (Pharmaram Ltd),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,04/04/2019,10/10/2021,V
328654,337877,Forxiga 10mg tablets (Pharmaram Ltd),Forxiga 10mg tablets (Pharmaram Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,337876,0,,UK,IN,D ,152170,04/04/2019,10/10/2021,V
328655,337878,Forxiga 10mg tablets (Pharmaram Ltd),Forxiga 10mg tablets (Pharmaram Ltd) 30 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,337876,0,,UK,IN,D ,152170,04/04/2019,10/10/2021,V
218360,229535,Forxiga 10mg tablets (Waymade Healthcare Plc),Forxiga 10mg tablets (Waymade Healthcare Plc),Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,0,,0,,f,f,,360858,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
218378,229536,Forxiga 10mg tablets (Waymade Healthcare Plc),Forxiga 10mg tablets (Waymade Healthcare Plc) 28 tablet,Forxiga,INUK.4080,A10BK01,,10,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,229535,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
165553,171954,Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
165554,171955,Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga 5mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,171954,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
332631,341995,Forxiga 5mg tablets (CST Pharma Ltd),Forxiga 5mg tablets (CST Pharma Ltd),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,16/08/2019,10/10/2021,V
334790,344296,Forxiga 5mg tablets (CST Pharma Ltd),Forxiga 5mg tablets (CST Pharma Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,341995,0,,UK,IN,D ,152170,05/12/2019,10/10/2021,V
338731,348333,Forxiga 5mg tablets (DE Pharmaceuticals),Forxiga 5mg tablets (DE Pharmaceuticals),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,06/03/2020,10/10/2021,V
338732,348334,Forxiga 5mg tablets (DE Pharmaceuticals),Forxiga 5mg tablets (DE Pharmaceuticals) 28 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,348333,0,,UK,IN,D ,152170,06/03/2020,10/10/2021,V
367087,367817,Forxiga 5mg tablets (DE Pharmaceuticals),Forxiga 5mg tablets (DE Pharmaceuticals) 30 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,348333,0,,UK,IN,D ,161171,10/03/2022,10/03/2022,V
346708,354901,Forxiga 5mg tablets (Ethigen Ltd),Forxiga 5mg tablets (Ethigen Ltd),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,10/09/2020,10/10/2021,V
346709,354902,Forxiga 5mg tablets (Ethigen Ltd),Forxiga 5mg tablets (Ethigen Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,354901,0,,UK,IN,D ,152170,10/09/2020,10/10/2021,V
337783,347333,Forxiga 5mg tablets (Pharmaram Ltd),Forxiga 5mg tablets (Pharmaram Ltd),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,12/02/2020,10/10/2021,V
337784,347334,Forxiga 5mg tablets (Pharmaram Ltd),Forxiga 5mg tablets (Pharmaram Ltd) 28 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,347333,0,,UK,IN,D ,152170,12/02/2020,10/10/2021,V
226517,233487,Forxiga 5mg tablets (Waymade Healthcare Plc),Forxiga 5mg tablets (Waymade Healthcare Plc),Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,0,,0,,f,f,,360857,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
226518,233488,Forxiga 5mg tablets (Waymade Healthcare Plc),Forxiga 5mg tablets (Waymade Healthcare Plc) 28 tablet,Forxiga,INUK.4080,A10BK01,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,233487,0,,UK,IN,D ,152170,02/10/2018,10/10/2021,V
