,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
196385,203399,Empagliflozin 10mg tablets,Empagliflozin 10mg tablets,,INUK.2989,A10BK03,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
196386,203400,Jardiance 10mg tablets (Boehringer Ingelheim Ltd),Jardiance 10mg tablets (Boehringer Ingelheim Ltd),Jardiance,INUK.2989,A10BK03,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,203399.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
196387,203401,Jardiance 10mg tablets (Boehringer Ingelheim Ltd),Jardiance 10mg tablets (Boehringer Ingelheim Ltd) 28 tablet4 x 7 tablets,Jardiance,INUK.2989,A10BK03,,10.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,203400.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
196397,203410,Empagliflozin 25mg tablets,Empagliflozin 25mg tablets,,INUK.2989,A10BK03,,25.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
196398,203411,Jardiance 25mg tablets (Boehringer Ingelheim Ltd),Jardiance 25mg tablets (Boehringer Ingelheim Ltd),Jardiance,INUK.2989,A10BK03,,25.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,203410.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
196399,203412,Jardiance 25mg tablets (Boehringer Ingelheim Ltd),Jardiance 25mg tablets (Boehringer Ingelheim Ltd) 28 tablet4 x 7 tablets,Jardiance,INUK.2989,A10BK03,,25.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,203411.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
328018,337204,Jardiance 10mg tablets (Originalis B.V.),Jardiance 10mg tablets (Originalis B.V.),Jardiance,INUK.2989,A10BK03,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,203399.0,0.0,,UK,IN,D ,66431,2019-03-26,2020-05-04,V
328019,337205,Jardiance 10mg tablets (Originalis B.V.),Jardiance 10mg tablets (Originalis B.V.) 30 tablet,Jardiance,INUK.2989,A10BK03,,10.0,INUK.258684004,0.0,,0.0,,30.0,INUK.428673006,0.0,,f,f,,337204.0,0.0,,UK,IN,D ,66431,2019-03-26,2020-05-04,V
328020,337206,Jardiance 25mg tablets (Originalis B.V.),Jardiance 25mg tablets (Originalis B.V.),Jardiance,INUK.2989,A10BK03,,25.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,203410.0,0.0,,UK,IN,D ,66431,2019-03-26,2020-05-04,V
328021,337207,Jardiance 25mg tablets (Originalis B.V.),Jardiance 25mg tablets (Originalis B.V.) 30 tablet,Jardiance,INUK.2989,A10BK03,,25.0,INUK.258684004,0.0,,0.0,,30.0,INUK.428673006,0.0,,f,f,,337206.0,0.0,,UK,IN,D ,66431,2019-03-26,2020-05-04,V
