,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
81536,85864,Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices,Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices,,INUK.2258,A10BJ01,,250.0,INUK.258685003,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
81545,85873,Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices,Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices,,INUK.2258,A10BJ01,,250.0,INUK.258685003,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
147251,152916,Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials,Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials,,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
147252,152917,Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd),Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd),Bydureon,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,152916.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
147253,152918,Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd),Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd) 4 vial,Bydureon,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,4.0,INUK.415818006,0.0,,f,f,,152917.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
168205,174661,Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,,INUK.3011,A10BJ03,,100.0,INUK.258685003,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
168209,174665,Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,,INUK.3011,A10BJ03,,50.0,INUK.258685003,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
168322,174777,Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,,INUK.tc1605,A10BJ03,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
222452,229204,Teduglutide 5mg powder and solvent for solution for injection vials,Teduglutide 5mg powder and solvent for solution for injection vials,,INUK.3709,A16AX08,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
223285,230066,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,,INUK.2625,A10AE56,,3.6,INUK.258684004,100.0,INUK.767525000,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,78895,2018-10-02,2020-07-10,V
225203,232220,Victoza 6mg/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Victoza 6mg/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Victoza,INUK.2624,A10BJ02,,6.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,122662.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
225461,232221,Victoza 6mg/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Victoza 6mg/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 3 pre-filled disposable injection,Victoza,INUK.2624,A10BJ02,,6.0,INUK.258684004,0.0,,0.0,,3.0,INUK.3318611000001103,0.0,,f,f,,232220.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226521,233491,Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices,Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices,,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226522,233492,Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd),Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd),Bydureon,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,233491.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226524,233493,Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd),Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd) 4 pre-filled disposable injection,Bydureon,INUK.2258,A10BJ01,,2.0,INUK.258684004,0.0,,0.0,,4.0,INUK.3318611000001103,0.0,,f,f,,233492.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226855,233812,Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices,Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices,,INUK.3059,A10BJ05,,1.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226856,233813,Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),Trulicity,INUK.3059,A10BJ05,,1.5,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,233812.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226857,233814,Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd) 4 pre-filled disposable injection,Trulicity,INUK.3059,A10BJ05,,1.5,INUK.258684004,0.0,,0.0,,4.0,INUK.3318611000001103,0.0,,f,f,,233813.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226866,233823,Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices,Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices,,INUK.3059,A10BJ05,,3.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
226867,233824,Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),Trulicity,INUK.3059,A10BJ05,,3.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,233823.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
