,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
13367,14952,Hypodermic U100 insulin syringe glass reusable 0.5ml,Hypodermic U100 insulin syringe glass reusable 0.5ml,,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13368,14953,ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd),ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd),Abcare,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,f,,14952.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13369,14954,ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd),ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd) 1 syringe,Abcare,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,1.0,INUK.733020007,0.0,,f,f,,14953.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13370,14955,Hypodermic U100 insulin syringe glass reusable 1ml,Hypodermic U100 insulin syringe glass reusable 1ml,,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13371,14956,ABCare hypodermic U100 insulin syringe glass reusable 1ml (Rand Rocket Ltd),ABCare hypodermic U100 insulin syringe glass reusable 1ml (Rand Rocket Ltd),Abcare,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,f,,14955.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13372,14957,ABCare hypodermic U100 insulin syringe glass reusable 1ml (Rand Rocket Ltd),ABCare hypodermic U100 insulin syringe glass reusable 1ml (Rand Rocket Ltd) 1 syringe,Abcare,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,1.0,INUK.733020007,0.0,,f,f,,14956.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13405,14990,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge,,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13406,14991,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)","BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",BD Micro-Fine +,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,f,,14990.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13407,14992,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)","BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd) 10 syringe",BD Micro-Fine +,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,10.0,INUK.733020007,0.0,,f,f,,14991.0,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
13422,15007,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge,Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge,,INUK.tc47,V07AY,,0.0,,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,41921,2018-10-02,2019-12-05,V
