,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
148883,154588,Linagliptin 5mg tablets,Linagliptin 5mg tablets,,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
148884,154589,Trajenta 5mg tablets (Boehringer Ingelheim Ltd),Trajenta 5mg tablets (Boehringer Ingelheim Ltd),Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,0,,0,,f,f,,154588,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
148885,154590,Trajenta 5mg tablets (Boehringer Ingelheim Ltd),Trajenta 5mg tablets (Boehringer Ingelheim Ltd) 28 tablet4 x 7 tablets,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,154589,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
333358,342733,Trajenta 5mg tablets (CST Pharma Ltd),Trajenta 5mg tablets (CST Pharma Ltd),Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,0,,0,,f,f,,154588,0,,UK,IN,D ,66431,10/09/2019,04/05/2020,V
335200,344700,Trajenta 5mg tablets (CST Pharma Ltd),Trajenta 5mg tablets (CST Pharma Ltd) 28 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342733,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
335201,344701,Trajenta 5mg tablets (CST Pharma Ltd),Trajenta 5mg tablets (CST Pharma Ltd) 30 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,342733,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
339145,348762,Trajenta 5mg tablets (DE Pharmaceuticals),Trajenta 5mg tablets (DE Pharmaceuticals),Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,0,,0,,f,f,,154588,0,,UK,IN,D ,66431,01/04/2020,04/05/2020,V
339146,348763,Trajenta 5mg tablets (DE Pharmaceuticals),Trajenta 5mg tablets (DE Pharmaceuticals) 28 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,348762,0,,UK,IN,D ,66431,01/04/2020,04/05/2020,V
339147,348764,Trajenta 5mg tablets (DE Pharmaceuticals),Trajenta 5mg tablets (DE Pharmaceuticals) 30 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,348762,0,,UK,IN,D ,66431,01/04/2020,04/05/2020,V
328656,337879,Trajenta 5mg tablets (Pharmaram Ltd),Trajenta 5mg tablets (Pharmaram Ltd),Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,0,,0,,f,f,,154588,0,,UK,IN,D ,66431,04/04/2019,04/05/2020,V
328657,337880,Trajenta 5mg tablets (Pharmaram Ltd),Trajenta 5mg tablets (Pharmaram Ltd) 28 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,337879,0,,UK,IN,D ,66431,04/04/2019,04/05/2020,V
328658,337881,Trajenta 5mg tablets (Pharmaram Ltd),Trajenta 5mg tablets (Pharmaram Ltd) 30 tablet,Trajenta,INUK.2949,A10BH05,,5,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,337879,0,,UK,IN,D ,66431,04/04/2019,04/05/2020,V
