,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
1762,2102,Metformin 500mg tablets,Metformin 500mg tablets,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,0,,0,,f,t,,,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1763,2103,Metformin 500mg tablets (A A H Pharmaceuticals Ltd),Metformin 500mg tablets (A A H Pharmaceuticals Ltd),,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,0,,0,,t,f,,2102,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1764,2104,Metformin 500mg tablets (A A H Pharmaceuticals Ltd),Metformin 500mg tablets (A A H Pharmaceuticals Ltd) 500 tablet,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,500,INUK.428673006,0,,t,f,,2103,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1765,2105,Metformin 500mg tablets (A A H Pharmaceuticals Ltd),Metformin 500mg tablets (A A H Pharmaceuticals Ltd) 28 tablet,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,2103,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1767,2118,Metformin 500mg tablets (Accord Healthcare Ltd),Metformin 500mg tablets (Accord Healthcare Ltd) 84 tablet6 x 14 tablets,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,84,INUK.428673006,0,,t,f,,2112,0,,UK,IN,D ,118515,02/10/2018,10/02/2021,V
1770,2121,Metformin 500mg tablets (Teva UK Ltd),Metformin 500mg tablets (Teva UK Ltd),,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,0,,0,,t,f,,2102,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1771,2122,Metformin 500mg tablets (Teva UK Ltd),Metformin 500mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,2121,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1776,2138,Metformin 500mg tablets (Kent Pharma (UK) Ltd),Metformin 500mg tablets (Kent Pharma (UK) Ltd) 84 tablet6 x 14 tablets,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,84,INUK.428673006,0,,t,f,,2136,0,,UK,IN,D ,137262,02/10/2018,10/07/2021,V
1777,2139,Metformin 500mg tablets (Sandoz Ltd),Metformin 500mg tablets (Sandoz Ltd),,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,0,,0,,t,f,,2102,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1778,2140,Metformin 500mg tablets (Sandoz Ltd),Metformin 500mg tablets (Sandoz Ltd) 28 tablet,,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,28,INUK.428673006,0,,t,f,,2139,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1779,2141,Glucophage 500mg tablets (Merck Serono Ltd),Glucophage 500mg tablets (Merck Serono Ltd),Glucophage,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,0,,0,,f,f,,2102,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
1780,2142,Glucophage 500mg tablets (Merck Serono Ltd),Glucophage 500mg tablets (Merck Serono Ltd) 84 tablet4 x 21 tablets,Glucophage,INUK.117,A10BA02,,500,INUK.258684004,0,,0,,84,INUK.428673006,0,,f,f,,2141,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
