,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.L179.00,HIV disease complicating pregnancy childbirth puerperium,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""104466""}]"
1,INUK.43h9.00,HIV proviral deoxyribonucleic acid polymerase chain reaction,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""89205""}]"
2,INUK.66j0.00,Human immunodeficiency virus annual review,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""101191""}]"
3,INUK.A788500,Human immunodeficiency virus with secondary infection,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""70528""}]"
4,INUK.AyuCD00,[X]Unspecified human immunodeficiency virus [HIV] disease,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""100769""}]"
5,INUK.A789400,HIV disease resulting in multiple infections,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""50076""}]"
6,INUK.43j7.00,HIV 1 nucleic acid detection,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""43537""}]"
7,INUK.AyuC100,[X]HIV disease resulting in other viral infections,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""107807""}]"
8,INUK.A789X00,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""51708""}]"
9,INUK.A788.00,Acquired immune deficiency syndrome,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""23770""}]"
10,INUK.A788y00,Human immunodeficiency virus with other clinical findings,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""62891""}]"
11,INUK.65VE.00,Notification of AIDS,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""33943""}]"
12,INUK.A788000,Acute human immunodeficiency virus infection,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""58857""}]"
13,INUK.ZV01A00,[V]Asymptomatic human immunodeficency virus infection status,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""24872""}]"
14,INUK.AyuC500,[X]HIV disease resulting/unspcf infectious??? disease,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""260641""}]"
15,INUK.A789700,HIV dis resulting oth types of non-Hodgkin's lymphoma,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""66367""}]"
16,INUK.AyuCC00,[X]HIV disease resulting in other specified conditions,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""102252""}]"
17,INUK.A789.00,Human immunodef virus resulting in other disease,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""44303""}]"
18,INUK.L7990A,ACQUIRED IMMUNE DEFICIENCY SYNDROME,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""228702""}]"
19,INUK.A788.11,Human immunodeficiency virus infection,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""9130""}]"
20,INUK.9kl..00,HIV pos gen health check serv declind - enhanc service admin,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""105040""}]"
21,INUK.AyuC900,[X]HIV disease resulting in unspecified malignant neoplasm,Read codes v2,C3349,10235,HIV AIDS Read codes - Elixhauser,PH1081,2365,HIV AIDS - Elixhauser primary care,"[{""Medcode"": ""260642""}]"
