,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.H330000,Extrinsic asthma without status asthmaticus,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""14777.0"", ""Category"": ""Diagnosis of Asthma""}]"
1,INUK.H33zz00,Asthma NOS,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""16070.0"", ""Category"": ""Diagnosis of Asthma""}]"
2,INUK.H331111,Intrinsic asthma with asthma attack,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""18323.0"", ""Category"": ""Diagnosis of Asthma""}]"
3,INUK.H33zz13,Allergic bronchitis NEC,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""18207.0"", ""Category"": ""Diagnosis of Asthma""}]"
4,INUK.H331z00,Intrinsic asthma NOS,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""45073.0"", ""Category"": ""Diagnosis of Asthma""}]"
5,INUK.H331.11,Late onset asthma,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""3665.0"", ""Category"": ""Diagnosis of Asthma""}]"
6,INUK.H330100,Extrinsic asthma with status asthmaticus,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""27926.0"", ""Category"": ""Diagnosis of Asthma""}]"
7,INUK.212G.00,Asthma resolved,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""11839.0"", ""Category"": ""History of Asthma""}]"
8,INUK.H330z00,Extrinsic asthma NOS,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""45782.0"", ""Category"": ""Diagnosis of Asthma""}]"
9,INUK.H335.00,Chronic asthma with fixed airflow obstruction,Read codes v2,C992,3123,Asthma - Primary care,PH109,218,Asthma,"[{""Disease"": ""Asthma"", ""Medcode"": ""106805.0"", ""Category"": ""Diagnosis of Asthma""}]"
