,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.1TB1.,H/O weekl maj tranquilli misus,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
1,INUK.E02y0,Drug-induced delirium,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
2,INUK.1V3..,Drug injection behaviour,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
3,INUK.9N0Z.,Seen in drug rehab centre,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
4,INUK.U2062,[X]S/pois hallucinog pub ins,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
5,INUK.E2431,Cannabis dependence-continuous,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
6,INUK.9G21.,Drug addict notific to CMO,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
7,INUK.U1A63,[X]Ac pois hallucinog sport ar,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
8,INUK.L1830,Preg.+drug dependence unspecif,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
9,INUK.E2532,Nondep hallucinogen abuse-epis,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
10,INUK.13cB.,Misuses drugs orally,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
11,INUK.dj3G.,SUBOXONE 8mg/2mg s/l tabs,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
12,INUK.9NdN.,Declnd consnt notif drug misus,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
13,INUK.13cD.,Episodic use of drugs,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
14,INUK.8HHd.,Referral to drug treatment cen,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
15,INUK.dj3L.,NATZON 2mg sublingual tablets,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
16,INUK.7P220,Delivery rehab drug addiction,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
17,INUK.E2481,Continuous opioid+other depen.,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
18,INUK.9HC8.,Decl to give subst misuse hist,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
19,INUK.E02y.,Other drug psychoses,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
20,INUK.1V53.,Drug-related rituals,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
21,INUK.13cT.,Reverse tolerance to drug,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
22,INUK.Eu187,[X]Resid psychotic due solvent,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
23,INUK.E2562,Nondep cocaine abuse - episod.,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
24,INUK.U4056,[X]Pois ?int narcotic indus ar,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
25,INUK.E2430,Cannabis dependence-unspecif.,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
26,INUK.E02yz,Other drug psychoses NOS,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
27,INUK.13c4.,Intranasal drug user,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
28,INUK.1TB2.,H/O infreq maj trnquillis miss,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
29,INUK.U1A56,[X]Ac pois narcotic indus ar,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
30,INUK.1T4..,H/O amphetamine misuse,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
31,INUK.U4061,[X]Pois ?int hallucinog resid,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
32,INUK.Eu18z,[X]Uns ment/beh due solvent,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
33,INUK.Eu113,[X]Opioid withthdrawal state,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
34,INUK.T8520,Accid.pois.- cocaine,Read codes v2,C2945,10506,Drug use,PH1108,2437,Drug use,
