,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.Eu20400,[X]Post-schizophrenic depression,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""20785.0"", ""Category"": ""Diagnosis of Depression""}]"
1,INUK.Eu33214,"[X]Vital depression, recurrent without psychotic symptoms",Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""73991.0"", ""Category"": ""Diagnosis of Depression""}]"
2,INUK.E113700,Recurrent depression,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""6482.0"", ""Category"": ""Diagnosis of Depression""}]"
3,INUK.Eu32312,[X]Single episode of psychogenic depressive psychosis,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""52678.0"", ""Category"": ""Diagnosis of Depression""}]"
4,INUK.Eu33y00,[X]Other recurrent depressive disorders,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""47731.0"", ""Category"": ""Diagnosis of Depression""}]"
5,INUK.E118.00,Seasonal affective disorder,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""10825.0"", ""Category"": ""Diagnosis of Depression""}]"
6,INUK.9H91.00,Depression medication review,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""12122.0"", ""Category"": ""History of Depression""}]"
7,INUK.Eu32.13,[X]Single episode of reactive depression,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""7604.0"", ""Category"": ""Diagnosis of Depression""}]"
8,INUK.E112.11,Agitated depression,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""5879.0"", ""Category"": ""Diagnosis of Depression""}]"
9,INUK.E002100,Senile dementia with depression,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""21887.0"", ""Category"": ""Diagnosis of Depression""}]"
10,INUK.Eu33.14,[X]Seasonal depressive disorder,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""28756.0"", ""Category"": ""Diagnosis of Depression""}]"
11,INUK.E113300,"Recurrent major depressive episodes, severe, no psychosis",Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""25697.0"", ""Category"": ""Diagnosis of Depression""}]"
12,INUK.Eu32000,[X]Mild depressive episode,Read codes v2,C1111,3361,Depression - Primary care,PH149,298,Depression,"[{""Disease"": ""Depression"", ""Medcode"": ""11717.0"", ""Category"": ""Diagnosis of Depression""}]"
