,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.662f.00,New York Heart Association classification - class I,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""18853.0"", ""Category"": ""Diagnosis of Heart failure""}]"
1,INUK.9N2p.00,Seen by community heart failure nurse,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""19002.0"", ""Category"": ""History of Heart failure""}]"
2,INUK.G584.00,Right ventricular failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""104275.0"", ""Category"": ""Diagnosis of Heart failure""}]"
3,INUK.8H2S.00,Admit heart failure emergency,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""32898.0"", ""Category"": ""History of Heart failure""}]"
4,INUK.G234.00,Hyperten heart&renal dis+both(congestv)heart and renal fail,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""57987.0"", ""Category"": ""Diagnosis of Heart failure""}]"
5,INUK.9h12.00,Excepted from LVD quality indicators: Informed dissent,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""28649.0"", ""Category"": ""History of Heart failure""}]"
6,INUK.9On..00,Left ventricular dysfunction monitoring administration,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""18793.0"", ""Category"": ""History of Heart failure""}]"
7,INUK.G5yy900,Left ventricular systolic dysfunction,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""8966.0"", ""Category"": ""Diagnosis of Heart failure""}]"
8,INUK.G232.00,Hypertensive heart&renal dis wth (congestive) heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""21837.0"", ""Category"": ""Diagnosis of Heart failure""}]"
9,INUK.9Or..00,Heart failure monitoring administration,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""32911.0"", ""Category"": ""History of Heart failure""}]"
10,INUK.661M500,Heart failure self-management plan agreed,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""106198.0"", ""Category"": ""History of Heart failure""}]"
11,INUK.9On2.00,Left ventricular dysfunction monitoring third letter,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""72341.0"", ""Category"": ""History of Heart failure""}]"
12,INUK.8Hk0.00,Referred to heart failure education group,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""71235.0"", ""Category"": ""History of Heart failure""}]"
13,INUK.G400.00,Acute cor pulmonale,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""8464.0"", ""Category"": ""Diagnosis of Heart failure""}]"
14,INUK.662T.00,Congestive heart failure monitoring,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""12366.0"", ""Category"": ""History of Heart failure""}]"
15,INUK.9On3.00,Left ventricular dysfunction monitoring verbal invite,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""92305.0"", ""Category"": ""History of Heart failure""}]"
16,INUK.9h11.00,Excepted from LVD quality indicators: Patient unsuitable,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""11613.0"", ""Category"": ""History of Heart failure""}]"
17,INUK.679W100,Education about deteriorating heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""105002.0"", ""Category"": ""History of Heart failure""}]"
18,INUK.G580.13,Right ventricular failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""10154.0"", ""Category"": ""Diagnosis of Heart failure""}]"
19,INUK.G5yyA00,Left ventricular diastolic dysfunction,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""12550.0"", ""Category"": ""Diagnosis of Heart failure""}]"
20,INUK.14A6.00,H/O: heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""15058.0"", ""Category"": ""History of Heart failure""}]"
21,INUK.9On4.00,Left ventricular dysfunction monitoring telephone invite,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""96484.0"", ""Category"": ""History of Heart failure""}]"
22,INUK.G580200,Decompensated cardiac failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""27884.0"", ""Category"": ""Diagnosis of Heart failure""}]"
23,INUK.G582.00,Acute heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""27964.0"", ""Category"": ""Diagnosis of Heart failure""}]"
24,INUK.9hH..00,Exception reporting: heart failure quality indicators,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""90935.0"", ""Category"": ""History of Heart failure""}]"
25,INUK.G21z100,Hypertensive heart disease NOS with CCF,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""62718.0"", ""Category"": ""Diagnosis of Heart failure""}]"
26,INUK.9N6T.00,Referred by heart failure nurse specialist,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""69062.0"", ""Category"": ""History of Heart failure""}]"
27,INUK.G58z.00,Heart failure NOS,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""4024.0"", ""Category"": ""Diagnosis of Heart failure""}]"
28,INUK.662h.00,New York Heart Association classification - class III,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""19066.0"", ""Category"": ""Diagnosis of Heart failure""}]"
29,INUK.G58..11,Cardiac failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""1223.0"", ""Category"": ""Diagnosis of Heart failure""}]"
30,INUK.G580400,Congestive heart failure due to valvular disease,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""94870.0"", ""Category"": ""Diagnosis of Heart failure""}]"
31,INUK.G554000,Congestive cardiomyopathy,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""5141.0"", ""Category"": ""Diagnosis of Heart failure""}]"
32,INUK.388D.00,New York Heart Assoc classification heart failure symptoms,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""46672.0"", ""Category"": ""Diagnosis of Heart failure""}]"
33,INUK.9Or3.00,Heart failure monitoring first letter,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""72965.0"", ""Category"": ""History of Heart failure""}]"
34,INUK.9Or4.00,Heart failure monitoring second letter,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""72386.0"", ""Category"": ""History of Heart failure""}]"
35,INUK.G581.11,Asthma - cardiac,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""23481.0"", ""Category"": ""Diagnosis of Heart failure""}]"
36,INUK.G554011,Congestive obstructive cardiomyopathy,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""68766.0"", ""Category"": ""Diagnosis of Heart failure""}]"
37,INUK.G41z.11,Chronic cor pulmonale,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""5695.0"", ""Category"": ""Diagnosis of Heart failure""}]"
38,INUK.G580100,Chronic congestive heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""32671.0"", ""Category"": ""Diagnosis of Heart failure""}]"
39,INUK.G580.12,Right heart failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""10079.0"", ""Category"": ""Diagnosis of Heart failure""}]"
40,INUK.G581.13,Impaired left ventricular function,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""5942.0"", ""Category"": ""Diagnosis of Heart failure""}]"
41,INUK.8B29.00,Cardiac failure therapy,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""24503.0"", ""Category"": ""Diagnosis of Heart failure""}]"
42,INUK.679X.00,Heart failure education,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""95835.0"", ""Category"": ""History of Heart failure""}]"
43,INUK.662g.00,New York Heart Association classification - class II,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""13189.0"", ""Category"": ""Diagnosis of Heart failure""}]"
44,INUK.8CMK.00,Has heart failure management plan,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""103732.0"", ""Category"": ""History of Heart failure""}]"
45,INUK.G58z.12,Cardiac failure NOS,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""17278.0"", ""Category"": ""Diagnosis of Heart failure""}]"
46,INUK.9Or5.00,Heart failure monitoring third letter,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""89650.0"", ""Category"": ""History of Heart failure""}]"
47,INUK.9On1.00,Left ventricular dysfunction monitoring second letter,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""60721.0"", ""Category"": ""History of Heart failure""}]"
48,INUK.8CL3.00,Heart failure care plan discussed with patient,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""32945.0"", ""Category"": ""History of Heart failure""}]"
49,INUK.G581000,Acute left ventricular failure,Read codes v2,C1206,3551,Heart failure - Primary care,PH182,364,Heart failure,"[{""Disease"": ""Heart failure"", ""Medcode"": ""5255.0"", ""Category"": ""Diagnosis of Heart failure""}]"
