,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.J670000,Acute pancreatitis unspecified,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""49499.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
1,INUK.J670z11,Pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""656.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
2,INUK.14CG.00,History of acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""32954.0"", ""Category"": ""History of Pancreatitis""}]"
3,INUK.J670900,Drug-induced acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""105910.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
4,INUK.J670700,Biliary acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""104385.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
5,INUK.J670200,Acute haemorrhagic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""31395.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
6,INUK.J670800,Alcohol-induced acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""104611.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
7,INUK.J670600,Idiopathic acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""105194.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
8,INUK.J670300,Acute suppurative pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""44571.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
9,INUK.14CH.00,History of chronic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""71633.0"", ""Category"": ""History of Pancreatitis""}]"
10,INUK.J671100,Gallstone chronic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""42278.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
11,INUK.J671000,Alcohol-induced chronic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""24984.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
12,INUK.J670z00,Acute pancreatitis NOS,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""14905.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
13,INUK.J670.00,Acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""1113.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
14,INUK.J670500,Gallstone acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""12316.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
15,INUK.D201612,Pancytopenia with pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""61326.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
16,INUK.J672100,Pseudocyst of pancreas,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""4650.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
17,INUK.J670400,Subacute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""48685.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
18,INUK.A785100,Cytomegaloviral pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""44278.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
19,INUK.Jyu8400,[X]Other chronic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""49353.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
20,INUK.J670y00,Other acute pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""105066.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
21,INUK.J670100,Acute recurrent pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""1506.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
22,INUK.J671.00,Chronic pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""1419.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
23,INUK.A723.00,Mumps pancreatitis,Read codes v2,C1339,3817,Pancreatitis - Primary care,PH232,464,Pancreatitis,"[{""Disease"": ""Pancreatitis"", ""Medcode"": ""18544.0"", ""Category"": ""Diagnosis of Pancreatitis""}]"
