code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
7A12312,Dacron aortoiliac Y graft,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""42465"", ""Category"": ""Other PAD procedures (3)""}]"
7A49.11,Reconstruction of common femoral artery,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""73822"", ""Category"": ""Other PAD procedures (3)""}]"
7A48200,Bypass femoral artery by fem/pop art anast c vein graft NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""28030"", ""Category"": ""Other PAD procedures (3)""}]"
G73yz00,Other specified peripheral vascular disease NOS,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""4325"", ""Category"": ""Peripheral vascular disease (7)""}]"
7A48800,Bypass femoral artery by fem/peron a anast c prosthesis NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""67982"", ""Category"": ""Other PAD procedures (3)""}]"
G731z00,Thromboangiitis obliterans NOS,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""67401"", ""Category"": ""Peripheral vascular disease (7)""}]"
7A4A000,Repair of femoral artery NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""33555"", ""Category"": ""Other PAD procedures (3)""}]"
7A49700,Profundoplasty of popliteal artery NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""65669"", ""Category"": ""Other PAD procedures (3)""}]"
7A41000,Emerg bypass iliac art by iliac/femoral art anastomosis NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""44250"", ""Category"": ""Other PAD procedures (3)""}]"
7A47300,Emerg bypass pop art by pop/pop art anast c vein graft NEC,Read codes v2,C1349,3837,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"[{""Disease"": ""Peripheral arterial disease"", ""Medcode"": ""60693"", ""Category"": ""Other PAD procedures (3)""}]"
