,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.Eu20111,[X]Disorganised schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""53985.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
1,INUK.Eu20511,[X]Chronic undifferentiated schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""24107.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
2,INUK.Eu20311,[X]Atypical schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""91547.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
3,INUK.E101z00,Hebephrenic schizophrenia NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""48054.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
4,INUK.Eu22111,[X]Capgras syndrome,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""55221.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
5,INUK.Eu20y12,[X]Schizophreniform disord NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""94001.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
6,INUK.Eu21.13,[X]Latent schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""64993.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
7,INUK.E107300,Acute exacerbation subchronic schizo-affective schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""58866.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
8,INUK.Eu22013,[X]Paraphrenia - late,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""47947.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
9,INUK.E100400,Acute exacerbation of chronic schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""44498.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
10,INUK.E12yz00,Other paranoid states NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""31455.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
11,INUK.E102500,Catatonic schizophrenia in remission,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""102427.0"", ""Category"": ""History of Schizophrenia, schizotypal and delusional disorders""}]"
12,INUK.E105.00,Latent schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""66410.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
13,INUK.Eu22200,[X]Cotard syndrome,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""98821.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
14,INUK.E100.11,Schizophrenia simplex,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""73295.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
15,INUK.E100z00,Simple schizophrenia NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""53625.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
16,INUK.E105z00,Latent schizophrenia NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""102446.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
17,INUK.Eu22y12,[X]Involutional paranoid state,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""50248.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
18,INUK.E10y100,Coenesthopathic schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""99070.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
19,INUK.E107z00,Schizo-affective schizophrenia NOS,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""10575.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
20,INUK.E107.11,Cyclic schizophrenia,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""99000.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
21,INUK.E107500,Schizo-affective schizophrenia in remission,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""56438.0"", ""Category"": ""History of Schizophrenia, schizotypal and delusional disorders""}]"
22,INUK.Eu22014,[X]Sensitiver Beziehungswahn,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""65127.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
23,INUK.E12y.00,Other paranoid states,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""31589.0"", ""Category"": ""Diagnosis of Schizophrenia, schizotypal and delusional disorders""}]"
24,INUK.146H.00,H/O: psychosis,Read codes v2,C1501,4141,"Schizophrenia, schizotypal and delusional disorders - Primary care",PH285,570,"Schizophrenia, schizotypal and delusional disorders","[{""Disease"": ""Schizophrenia, schizotypal and delusional disorders"", ""Medcode"": ""12777.0"", ""Category"": ""History of Schizophrenia, schizotypal and delusional disorders""}]"
