,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.L096.11,Embolus following abortive pregnancy,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Unspecified abortion""}]"
1,INUK.L330000,Prolapse of cord unspecified,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
2,INUK.L182200,Anaemia in the puerperium - baby delivered,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
3,INUK.L411513,Vulval varices in pregnancy,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
4,INUK.Z264.12,Observation of amniotic fluid,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
5,INUK.14Y6.00,Born by emergency caesarean section,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
6,INUK.L30z100,Obstructed labour NOS - delivered,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
7,INUK.L126.00,Eclampsia,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
8,INUK.6213,Pregnant - V.E. confirms,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
9,INUK.L33..00,Umbilical cord complications,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
10,INUK.Z234200,Gravid uterus small-for-dates,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
11,INUK.12/01/1962,Maternity care,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
12,INUK.L16y500,Abdominal pain in pregnancy,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
13,INUK.Z239800,Uterine activity,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
14,INUK.63B4.00,Apgar at 10 minutes = 3,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Labour, delivery or condition at birth""}]"
15,INUK.L182500,Iron deficiency anaemia of pregnancy,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
16,INUK.L335.00,Vasa praevia,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
17,INUK.L045.11,Inevitable miscarriage complete,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Spontaneous abortion""}]"
18,INUK.L111200,Placenta praevia with haemorrhage - not delivered,Read codes v2,C1676,5499,Pregnancy - Primary Care,PH348,1512,Pregnancy,"[{""CALIBER category"": ""Currently pregnant""}]"
