,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.9Os3.00,Atrial fibrillation monitoring verbal invite,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""90190"", ""Category"": ""Atrial fibrillation monitoring (2)""}]"
1,INUK.G573000,Atrial fibrillation,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""1664"", ""Category"": ""Atrial fibrillation, not otherwise specified (5)""}]"
2,INUK.14AR.00,History of atrial flutter,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""93460"", ""Category"": ""History of atrial fibrillation or flutter (1)""}]"
3,INUK.212R.00,Atrial fibrillation resolved,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""28994"", ""Category"": ""History of atrial fibrillation or flutter (1)""}]"
4,INUK.9Os0.00,Atrial fibrillation monitoring first letter,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""90187"", ""Category"": ""Atrial fibrillation monitoring (2)""}]"
5,INUK.G573400,Permanent atrial fibrillation,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""96277"", ""Category"": ""Persistent or permanent atrial fibrillation (4)""}]"
6,INUK.G573100,Atrial flutter,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""1757"", ""Category"": ""Atrial flutter (7)""}]"
7,INUK.9Os..00,Atrial fibrillation monitoring administration,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""57832"", ""Category"": ""Atrial fibrillation monitoring (2)""}]"
8,INUK.3272,ECG: atrial fibrillation,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""3757"", ""Category"": ""Atrial fibrillation, not otherwise specified (5)""}]"
9,INUK.G573300,Non-rheumatic atrial fibrillation,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""35127"", ""Category"": ""Atrial fibrillation, not otherwise specified (5)""}]"
10,INUK.9Os4.00,Atrial fibrillation monitoring telephone invite,Read codes v2,C789,2717,Atrial fibrillation - Primary care,PH36,72,Atrial fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Medcode"": ""90191"", ""Category"": ""Atrial fibrillation monitoring (2)""}]"
