,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.Eu31.00,[X]Bipolar affective disorder,Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""6874.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
1,INUK.Eu30z00,"[X]Manic episode, unspecified",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""44513.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
2,INUK.E115300,"Bipolar affect disord, now depressed, severe, no psychosis",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""35607.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
3,INUK.E114100,"Bipolar affective disorder, currently manic, mild",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""36126.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
4,INUK.Eu30211,[X]Mania with mood-congruent psychotic symptoms,Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""37102.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
5,INUK.E116500,"Mixed bipolar affective disorder, partial/unspec remission",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""63651.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
6,INUK.E111.00,Recurrent manic episodes,Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""26227.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
7,INUK.E117000,"Unspecified bipolar affective disorder, unspecified",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""49763.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
8,INUK.E114.11,Manic-depressive - now manic,Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""17385.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
9,INUK.Eu31400,"[X]Bipol aff disord, curr epis sev depress, no psychot symp",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""23713.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
10,INUK.E11y000,Unspecified manic-depressive psychoses,Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""11596.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
11,INUK.E116600,"Mixed bipolar affective disorder, in full remission",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""55064.0"", ""Category"": ""History of Bipolar affective disorder and mania""}]"
12,INUK.E114500,"Bipolar affect disord,currently manic, part/unspec remission",Read codes v2,C793,2725,Bipolar affective disorder and mania - Primary care,PH38,76,Bipolar affective disorder and mania,"[{""Disease"": ""Bipolar affective disorder and mania"", ""Medcode"": ""59011.0"", ""Category"": ""Diagnosis of Bipolar affective disorder and mania""}]"
