,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.H3z..11,Chronic obstructive pulmonary disease NOS,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""37247.0"", ""Category"": ""Diagnosis of COPD""}]"
1,INUK.14B3.12,History of chronic obstructive pulmonary disease,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""103494.0"", ""Category"": ""History of COPD""}]"
2,INUK.H36..00,Mild chronic obstructive pulmonary disease,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""10863.0"", ""Category"": ""Diagnosis of COPD""}]"
3,INUK.H321.00,Panlobular emphysema,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""46578.0"", ""Category"": ""Diagnosis of COPD""}]"
4,INUK.H31yz00,Other chronic bronchitis NOS,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""68066.0"", ""Category"": ""Diagnosis of COPD""}]"
5,INUK.H32yz00,Other emphysema NOS,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""16410.0"", ""Category"": ""Diagnosis of COPD""}]"
6,INUK.H320100,Zonal bullous emphysema,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""68662.0"", ""Category"": ""Diagnosis of COPD""}]"
7,INUK.H31y.00,Other chronic bronchitis,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""66043.0"", ""Category"": ""Diagnosis of COPD""}]"
8,INUK.H32y000,Acute vesicular emphysema,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""92955.0"", ""Category"": ""Diagnosis of COPD""}]"
9,INUK.H312100,Emphysematous bronchitis,Read codes v2,C805,2749,Chronic Obstructive Pulmonary Disease (COPD) - Primary care,PH43,86,Chronic Obstructive Pulmonary Disease (COPD),"[{""Disease"": ""COPD"", ""Medcode"": ""14798.0"", ""Category"": ""Diagnosis of COPD""}]"
