,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.Eu10514,[x]alcoholic psychosis nos,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1,INUK.8BA8.00,alcohol detoxification,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
2,INUK.1282,fh: alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
3,INUK.E012.00,other alcoholic dementia,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
4,INUK.J610.00,alcoholic fatty liver,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
5,INUK.E231.00,chronic alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
6,INUK.SM00100,denatured alcohol causing toxic effect,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7,INUK.Eu10512,[x]alcoholic jealousy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8,INUK.Eu10411,[x]delirium tremens; alcohol induced,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
9,INUK.E011100,korsakov's alcoholic psychosis with peripheral neuritis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
