,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.F25B.00  ,Alcohol-induced epilepsy  ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1,INUK.F256.00,Infantile Spasms,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
2,INUK.F25y500,Panayiotopoulos syndrome,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
3,INUK.F25y.00       ,Other forms of epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
4,INUK.F250200,Epileptic seizures - atonic ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
5,INUK.667N.00,Epilepsy severity  ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
6,INUK.F259.00,Early infant epileptic encephalopathy with suppression bursts,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7,INUK.F250500,Lennox-Gastaut syndrome,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8,INUK.F25y000,Cursive (running) epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
9,INUK.F257.00,Kojevnikov's epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
10,INUK.1B1W.00,Transient epileptic amnesia ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
11,INUK.F25C.00       ,Drug-induced epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
12,INUK.Fyu5200,[X]Other status epilepticus,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
13,INUK.F256.12,West Syndrome,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
14,INUK.F251000,Grand mal (major) epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
15,INUK.F132100       ,Progressive myoclonic epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
16,INUK.F255011,Focal epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
17,INUK.1473,H/O: epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
18,INUK.F256100,Salaam attacks,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
19,INUK.F25D.00       ,Menstrual epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
20,INUK.Eu80300       ,[X]Acquired aphasia with epilepsy [Landau - Kleffner] ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
21,INUK.F255000,"Jacksonian, focal or motor epilepsy",Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
22,INUK.F251011       ,Tonic-clonic epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
23,INUK.F254100   ,Psychomotor epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
24,INUK.F255500,Unilateral epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
25,INUK.F250100,pykno-epilepsy,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
26,INUK.F25F.00,Photosensitive epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
27,INUK.2828,Absence seizure ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
28,INUK.F254z00       ,Partial epilepsy with impairment of consciousness NOS ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
29,INUK.F25X.00,"Status epilepticus, unspecified",Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
30,INUK.F256.11,Lightning spasms,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
31,INUK.F255200       ,Somatosensory epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
32,INUK.F25z.00,Epilepsy NOS,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
33,INUK.F253.00,Grand mal status,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
34,INUK.F253.11,Status epilepticus ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
35,INUK.F254400,Epileptic automatism,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
36,INUK.F250y00       ,Other specified generalised nonconvulsive epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
37,INUK.F256000,Hypsarrhthymia,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
38,INUK.F255300,Visceral reflex epilepsy,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
39,INUK.F25..00,Epilepsy,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
40,INUK.F256z00,Infantile Spasms NOS,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
41,INUK.F255z00,Partial epilepsy without impairment of consciousness NOS ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
42,INUK.F251.00       ,Generalised convulsive epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
43,INUK.Fyu5000,[X]Other generalized epilepsy and epileptic syndromes ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
44,INUK.F25yz00,Other forms of epilepsy NOS ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
45,INUK.Fyu5100,[X]Other epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
46,INUK.F250000,Petit mal (minor) epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
47,INUK.F25y400,Benign Rolandic epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
48,INUK.F132200,Myoclonic encephalopathy,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
49,INUK.667B.00,Nocturnal epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
50,INUK.F255100 ,Sensory induced epilepsy ,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
51,INUK.F251111,Otohara syndrome,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
52,INUK.F25y300,Complex partial status epilepticus,Read codes v2,C1826,4790,Epilepsy - Primary Care,PH467,934,Epilepsy,"[{""Entity type"": ""res55: epilepsy"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
