,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.E002z00,Senile dementia with depressive or paranoid features NOS,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
1,INUK.Eu01y00,[X]Other vascular dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
2,INUK.Eu02z00,[X] Unspecified dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
3,INUK.E004000,Uncomplicated arteriosclerotic dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
4,INUK.E004300,Arteriosclerotic dementia with depression,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
5,INUK.Eu00113,"[X]Primary degen dementia of Alzheimer's type, senile onset",Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
6,INUK.E00..11,Senile dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
7,INUK.Eu00012,"[X]Primary degen dementia, Alzheimer's type, presenile onset",Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
8,INUK.Eu00200,"[X]Dementia in Alzheimer's dis, atypical or mixed type",Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
9,INUK.Eu00111,[X]Alzheimer's disease type 1,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
10,INUK.Eu01100,[X]Multi-infarct dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
11,INUK.Eu04100,[X]Delirium superimposed on dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
12,INUK.Eu01111,[X]Predominantly cortical dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
13,INUK.E002100,Senile dementia with depression,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
14,INUK.E001200,Presenile dementia with paranoia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
15,INUK.Eu01.11,[X]Arteriosclerotic dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
16,INUK.E00..12,Senile/presenile dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
17,INUK.F110000,Alzheimer's disease with early onset,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
18,INUK.1461,H/O: dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
19,INUK.E000.00,Uncomplicated senile dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
20,INUK.Eu00112,"[X]Senile dementia,Alzheimer's type",Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
21,INUK.E001000,Uncomplicated presenile dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
22,INUK.Eu01z00,"[X]Vascular dementia, unspecified",Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
23,INUK.Eu01200,[X]Subcortical vascular dementia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
24,INUK.E004200,Arteriosclerotic dementia with paranoia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
25,INUK.E003.00,Senile dementia with delirium,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
26,INUK.E002000,Senile dementia with paranoia,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
27,INUK.Eu00.00,[X]Dementia in Alzheimer's disease,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
28,INUK.Eu02z13,[X] Primary degenerative dementia NOS,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
29,INUK.Eu02z14,[X] Senile dementia NOS,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
30,INUK.E002.00,Senile dementia with depressive or paranoid features,Read codes v2,C1832,5511,Dementia - Primary Care,PH473,1514,Dementia,"[{""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read"", ""Entity type"": ""res11: Dementia""}]"
