,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.J411.00,Ulcerative (chronic) enterocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1,INUK.J41..11,Mucous colitis and/or proctitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
2,INUK.J41yz00,Other idiopathic proctocolitis NOS,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
3,INUK.J401200,Exacerbation of Crohn's disease of large intestine,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
4,INUK.J41z.00,Idiopathic proctocolitis NOS,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
5,INUK.J41y.00,Other idiopathic proctocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
6,INUK.J40..11,Crohn's disease,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7,INUK.J437.00,Colitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8,INUK.J43..00,Other non-infective inflammatory gastroenteritis and colitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
9,INUK.J402.00,Regional ileocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
10,INUK.J431200,Toxic enterocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
11,INUK.J40..00,Regional enteritis - Crohn's disease,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
12,INUK.J4z3.00,Non-infective colitis NOS,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
13,INUK.J400500,Exacerbation of Crohn's disease of small intestine,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
14,INUK.J400200,Crohn's disease of the terminal ileum,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
15,INUK.J410.00,Ulcerative proctocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
16,INUK.J400.00,Regional enteritis of the small bowel,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
17,INUK.J412.00,Ulcerative (chronic) ileocolitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
18,INUK.J410100,Ulcerative colitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
19,INUK.J4...11,Colitis - noninfective,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
20,INUK.J4...12,Inflammatory bowel disease,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
21,INUK.J435.00,Pouchitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
22,INUK.J431300,Toxic colitis,Read codes v2,C2001,5140,Inflammatory Bowel Disease - Primary Care,PH596,1192,Inflammatory Bowel Disease,"[{""Entity type"": ""res34: inflammatory_bowel_disease"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
