,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.1Z13.00,Chronic kidney disease stage 4,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1,INUK.K02..12,Nephropathy - chronic,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
2,INUK.K02y000,Chronic glomerulonephritis + diseases EC,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
3,INUK.1Z1F.00,Chronic kidney disease stage 3B with proteinuria,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
4,INUK.K01x300,Nephrotic syndrome in polyarteritis nodosa,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
5,INUK.1Z15.00,Chronic kidney disease stage 3A,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
6,INUK.K023.00,Chronic rapidly progressive glomerulonephritis,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7,INUK.K01z.00,Nephrotic syndrome NOS,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8,INUK.K100200,Chronic pyelitis,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
9,INUK.1Z12.00,Chronic kidney disease stage 3,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
10,INUK.SP08300,Kidney transplant failure and rejection,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
11,INUK.K100.00,Chronic pyelonephritis,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
12,INUK.K100500,Chronic obstructive pyelonephritis,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
13,INUK.K01w000,Finnish nephrosis syndrome,Read codes v2,C2035,5208,Chronic Kidney Disease (CKD) - Primary Care,PH626,1252,Chronic Kidney Disease (CKD),"[{""Entity type"": ""res26: CKD"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
