,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.8Cc4.00,Management of multiple sclerosis in palliative phase,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""98521.0"", ""Category"": ""History of Multiple sclerosis""}]"
1,INUK.8Cc1.00,Management of multiple sclerosis in early disease phase,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""97487.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
2,INUK.666A.00,Multiple sclerosis review,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""44985.0"", ""Category"": ""History of Multiple sclerosis""}]"
3,INUK.F20..11,Disseminated sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""3440.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
4,INUK.F204.00,Benign multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""96291.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
5,INUK.8IAb.00,Multiple sclerosis review declined,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""100503.0"", ""Category"": ""History of Multiple sclerosis""}]"
6,INUK.F201.00,Multiple sclerosis of the spinal cord,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""69886.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
7,INUK.9mD1.00,Multiple sclerosis monitoring second letter,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""109302.0"", ""Category"": ""History of Multiple sclerosis""}]"
8,INUK.8Cc0.00,Management of multiple sclerosis in onset phase,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""98835.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
9,INUK.F20z.00,Multiple sclerosis NOS,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""20493.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
10,INUK.F200.00,Multiple sclerosis of the brain stem,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""40344.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
11,INUK.8Cc2.00,Management of multiple sclerosis in stable disability phase,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""95864.0"", ""Category"": ""History of Multiple sclerosis""}]"
12,INUK.F202.00,Generalised multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""23730.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
13,INUK.F208.00,Secondary progressive multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""96246.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
14,INUK.F206.00,Primary progressive multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""96607.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
15,INUK.9mD0.00,Multiple sclerosis monitoring first letter,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""109049.0"", ""Category"": ""History of Multiple sclerosis""}]"
16,INUK.9kG..00,Spec serv for pat with multiple sclerosis - enh serv admin,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""48527.0"", ""Category"": ""History of Multiple sclerosis""}]"
17,INUK.8CS1.00,Multiple sclerosis care plan agreed,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""50161.0"", ""Category"": ""History of Multiple sclerosis""}]"
18,INUK.F20..00,Multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""684.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
19,INUK.666B.00,Multiple sclerosis multidisciplinary review,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""43232.0"", ""Category"": ""History of Multiple sclerosis""}]"
20,INUK.9mD..00,Multiple sclerosis monitoring administration,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""106307.0"", ""Category"": ""History of Multiple sclerosis""}]"
21,INUK.F207.00,Relapsing and remitting multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""95972.0"", ""Category"": ""Diagnosis of Multiple sclerosis""}]"
22,INUK.F203.00,Exacerbation of multiple sclerosis,Read codes v2,C855,2849,Multiple sclerosis - Primary care,PH63,126,Multiple sclerosis,"[{""Disease"": ""Multiple sclerosis"", ""Medcode"": ""2298.0"", ""Category"": ""History of Multiple sclerosis""}]"
