code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
C10F511,Type II diabetes mellitus with gangrene,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C10F.11,Type II diabetes mellitus,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C10FR00,Type 2 diabetes mellitus with gastroparesis,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C109712,Type 2 diabetes mellitus - poor control,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C109012,Type 2 diabetes mellitus with renal complications,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C10FF00,Type 2 diabetes mellitus with peripheral angiopathy,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C109.12,Type 2 diabetes mellitus,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C10F011,Type II diabetes mellitus with renal complications,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C10FM00,Type 2 diabetes mellitus with persistent microalbuminuria,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
C109900,Non-insulin-dependent diabetes mellitus without complication,Read codes v2,C2138,5414,Type 2 Diabetes - Primary Care,PH718,1436,Type 2 Diabetes,"[{""Entity type"": ""res56: Type 2 Diabetes"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
