,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.N04y200,Adult-onset Still's disease,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""32001.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
1,INUK.66H..13,Rheumatoid arthrit. monitoring,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""17412.0"", ""Category"": ""History of Rheumatoid Arthritis""}]"
2,INUK.N04y011,Caplan's syndrome,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""56838.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
3,INUK.N040000,Rheumatoid arthritis of cervical spine,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""44743.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
4,INUK.G5yA.00,Rheumatoid carditis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""43816.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
5,INUK.F396400,Myopathy due to rheumatoid arthritis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""31209.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
6,INUK.N040200,Rheumatoid arthritis of shoulder,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""21358.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
7,INUK.N040N00,Rheumatoid vasculitis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""30548.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
8,INUK.N042.00,Other rheumatoid arthropathy + visceral/systemic involvement,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""49227.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
9,INUK.N040F00,Rheumatoid arthritis of ankle,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""51239.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
10,INUK.N040D00,Rheumatoid arthritis of knee,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""50863.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
11,INUK.N04X.00,Seropositive rheumatoid arthritis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""12019.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
12,INUK.N047.00,Seropositive errosive rheumatoid arthritis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""9707.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
13,INUK.N362200,Swan-neck finger deformity,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""21635.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
14,INUK.N040300,Rheumatoid arthritis of sternoclavicular joint,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""107963.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
15,INUK.N040T00,Flare of rheumatoid arthritis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""8350.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
16,INUK.N040P00,Seronegative rheumatoid arthritis,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""6916.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
17,INUK.N040L00,Rheumatoid arthritis of lesser MTP joint,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""99414.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
18,INUK.Nyu1G00,[X]Seropositive rheumatoid arthritis unspecified,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""56202.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
19,INUK.N040800,Rheumatoid arthritis of MCP joint,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""42299.0"", ""Category"": ""Diagnosis of Rheumatoid Arthritis""}]"
20,INUK.9mM2.00,Rheumatoid arthritis monitoring invitation third letter,Read codes v2,C905,2949,Rheumatoid Arthritis - Primary care,PH80,160,Rheumatoid Arthritis,"[{""Disease"": ""Rheumatoid Arthritis"", ""Medcode"": ""107676.0"", ""Category"": ""History of Rheumatoid Arthritis""}]"
