code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
G667.00,Left sided CVA,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
G300.00,Acute anterolateral infarction,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7P24200,Delivery of rehabilitation for stroke,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7929100,Percut transluminal coronary thrombolysis with streptokinase,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
662Kz00,Angina control NOS,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
G34z.00,Other chronic ischaemic heart disease NOS,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
792..00,Coronary artery operations,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
G30..00,Acute myocardial infarction,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7924400,Revision of connection of thoracic artery to coronary artery,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7928000,Percut transluminal balloon angioplasty one coronary artery,Read codes v2,C2666,6745,Cardiovascular Disease - Primary Care,PH894,1867,Cardiovascular Disease,"[{""Entity type"": ""res67: CVD_Read_Code"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
