,code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
0,INUK.K15..00,Cystitis,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1,INUK.K190000,"Bacteriuria, site not specified",Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
2,INUK.1J4..00,Suspected UTI,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
3,INUK.SP07Q11,CAUTI - catheter-associated urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
4,INUK.K190z00,"Urinary tract infection, site not specified NOS",Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
5,INUK.K190.00,"Urinary tract infection, site not specified",Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
6,INUK.1AG..00,Recurrent urinary tract infections,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7,INUK.K190.11,Recurrent urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8,INUK.K190300,Recurrent urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
9,INUK.SP07Q00,Catheter-associated urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
10,INUK.K155.00,Recurrent cystitis,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
11,INUK.L166z11,UTI - urinary tract infection in pregnancy,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
12,INUK.K190200,Post operative urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
13,INUK.K150.00,Acute cystitis,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
14,INUK.K190311,Recurrent UTI,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
15,INUK.K15z.00,Cystitis NOS,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
16,INUK.K190500,Urinary tract infection,Read codes v2,C2679,6771,Urinary Tract Infection (UTI) - Primary Care,PH907,1893,Urinary Tract Infection (UTI),"[{""Entity type"": ""res70: UTI"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
