,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
141147,146677,Onglyza 2.5mg tablets (AstraZeneca UK Ltd),Onglyza 2.5mg tablets (AstraZeneca UK Ltd),Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,0,,0,,f,f,,360855,0,,UK,IN,D ,134448,02/10/2018,10/06/2021,V
141148,146678,Onglyza 2.5mg tablets (AstraZeneca UK Ltd),Onglyza 2.5mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets,Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,146677,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
333168,342544,Onglyza 2.5mg tablets (CST Pharma Ltd),Onglyza 2.5mg tablets (CST Pharma Ltd),Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,0,,0,,f,f,,360855,0,,UK,IN,D ,134448,10/09/2019,10/06/2021,V
335160,344661,Onglyza 2.5mg tablets (CST Pharma Ltd),Onglyza 2.5mg tablets (CST Pharma Ltd) 28 tablet,Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342544,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
338933,348534,Onglyza 2.5mg tablets (DE Pharmaceuticals),Onglyza 2.5mg tablets (DE Pharmaceuticals),Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,0,,0,,f,f,,360855,0,,UK,IN,D ,134448,06/03/2020,10/06/2021,V
338934,348535,Onglyza 2.5mg tablets (DE Pharmaceuticals),Onglyza 2.5mg tablets (DE Pharmaceuticals) 28 tablet,Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,348534,0,,UK,IN,D ,66431,06/03/2020,04/05/2020,V
333169,342545,Onglyza 2.5mg tablets (Mawdsley-Brooks & Company Ltd),Onglyza 2.5mg tablets (Mawdsley-Brooks & Company Ltd),Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,0,,0,,f,f,,360855,0,,UK,IN,D ,134448,10/09/2019,10/06/2021,V
335271,344771,Onglyza 2.5mg tablets (Mawdsley-Brooks & Company Ltd),Onglyza 2.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet,Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342545,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
337812,347364,Onglyza 2.5mg tablets (Pharmaram Ltd),Onglyza 2.5mg tablets (Pharmaram Ltd),Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,0,,0,,f,f,,360855,0,,UK,IN,D ,134448,12/02/2020,10/06/2021,V
337813,347365,Onglyza 2.5mg tablets (Pharmaram Ltd),Onglyza 2.5mg tablets (Pharmaram Ltd) 28 tablet,Onglyza,INUK.3728,A10BH03,,2.5,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,347364,0,,UK,IN,D ,66431,12/02/2020,04/05/2020,V
