,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
165552,171953,Dapagliflozin 5mg tablets,Dapagliflozin 5mg tablets,,INUK.3828,A10BK01,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
165553,171954,Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga,INUK.4080,A10BK01,,5.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,360857.0,0.0,,UK,IN,D ,152170,2018-10-02,2021-10-10,V
165554,171955,Forxiga 5mg tablets (AstraZeneca UK Ltd),Forxiga 5mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets,Forxiga,INUK.4080,A10BK01,,5.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,171954.0,0.0,,UK,IN,D ,152170,2018-10-02,2021-10-10,V
165555,171956,Dapagliflozin 10mg tablets,Dapagliflozin 10mg tablets,,INUK.3828,A10BK01,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
165556,171957,Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga,INUK.4080,A10BK01,,10.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,360858.0,0.0,,UK,IN,D ,152170,2018-10-02,2021-10-10,V
165557,171958,Forxiga 10mg tablets (AstraZeneca UK Ltd),Forxiga 10mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets,Forxiga,INUK.4080,A10BK01,,10.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,f,f,,171957.0,0.0,,UK,IN,D ,152170,2018-10-02,2021-10-10,V
186358,193197,Canagliflozin 300mg tablets,Canagliflozin 300mg tablets,,INUK.3511,A10BK02,,300.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
186359,193198,Invokana 300mg tablets (Napp Pharmaceuticals Ltd),Invokana 300mg tablets (Napp Pharmaceuticals Ltd),Invokana,INUK.3511,A10BK02,,300.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,f,,193197.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
186360,193199,Invokana 300mg tablets (Napp Pharmaceuticals Ltd),Invokana 300mg tablets (Napp Pharmaceuticals Ltd) 30 tablet3 x 10 tablets,Invokana,INUK.3511,A10BK02,,300.0,INUK.258684004,0.0,,0.0,,30.0,INUK.428673006,0.0,,f,f,,193198.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
186361,193200,Canagliflozin 100mg tablets,Canagliflozin 100mg tablets,,INUK.3511,A10BK02,,100.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
