,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
332659,342022,Januvia 100mg tablets (CST Pharma Ltd),Januvia 100mg tablets (CST Pharma Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,16/08/2019,04/05/2020,V
334801,344307,Januvia 100mg tablets (CST Pharma Ltd),Januvia 100mg tablets (CST Pharma Ltd) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,342022,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
141082,146612,Januvia 100mg tablets (DE Pharmaceuticals),Januvia 100mg tablets (DE Pharmaceuticals),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
141083,146613,Januvia 100mg tablets (DE Pharmaceuticals),Januvia 100mg tablets (DE Pharmaceuticals) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,146612,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
367066,367822,Januvia 100mg tablets (DE Pharmaceuticals),Januvia 100mg tablets (DE Pharmaceuticals) 30 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,146612,0,,UK,IN,D ,161171,10/03/2022,10/03/2022,V
94465,99020,Januvia 100mg tablets (Dowelhurst Ltd),Januvia 100mg tablets (Dowelhurst Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
94466,99021,Januvia 100mg tablets (Dowelhurst Ltd),Januvia 100mg tablets (Dowelhurst Ltd) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,99020,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
335744,345247,Januvia 100mg tablets (Ethigen Ltd),Januvia 100mg tablets (Ethigen Ltd) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,343086,0,,UK,IN,D ,78895,05/12/2019,10/07/2020,V
349420,343086,Januvia 100mg tablets (Ethigen Ltd),Januvia 100mg tablets (Ethigen Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,78895,10/10/2019,10/07/2020,V
136668,142056,Januvia 100mg tablets (Lexon (UK) Ltd),Januvia 100mg tablets (Lexon (UK) Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
136669,142057,Januvia 100mg tablets (Lexon (UK) Ltd),Januvia 100mg tablets (Lexon (UK) Ltd) 100 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,100,INUK.428673006,0,,f,f,,142056,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
123407,128610,Januvia 100mg tablets (Mawdsley-Brooks & Company Ltd),Januvia 100mg tablets (Mawdsley-Brooks & Company Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
123408,128611,Januvia 100mg tablets (Mawdsley-Brooks & Company Ltd),Januvia 100mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,128610,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
81406,85712,Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd),Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,118515,02/10/2018,10/02/2021,V
81407,85713,Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd),Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd) 28 tablet2 x 14 tablets,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,85712,0,,UK,IN,D ,118515,02/10/2018,10/02/2021,V
337791,347341,Januvia 100mg tablets (Pharmaram Ltd),Januvia 100mg tablets (Pharmaram Ltd),Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,0,,0,,f,f,,85711,0,,UK,IN,D ,66431,12/02/2020,04/05/2020,V
337792,347342,Januvia 100mg tablets (Pharmaram Ltd),Januvia 100mg tablets (Pharmaram Ltd) 28 tablet,Januvia,INUK.2399,A10BH01,,100,INUK.258684004,0,,0,,28,INUK.428673006,0,,f,f,,347341,0,,UK,IN,D ,66431,12/02/2020,04/05/2020,V
