,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
2330,2774,Gliclazide 80mg tablets,Gliclazide 80mg tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,f,t,,,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2331,2775,Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd),Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2332,2776,Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd),Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd) 60 tablet6 x 10 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,60.0,INUK.428673006,0.0,,t,f,,2775.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2337,2781,Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd),Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd) 28 tablet,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,t,f,,2775.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2345,2788,Gliclazide 80mg tablets (Actavis UK Ltd),Gliclazide 80mg tablets (Actavis UK Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2346,2789,Gliclazide 80mg tablets (Actavis UK Ltd),Gliclazide 80mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,t,f,,2788.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2349,2792,Gliclazide 80mg tablets (Actavis UK Ltd),Gliclazide 80mg tablets (Actavis UK Ltd) 60 tablet6 x 10 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,60.0,INUK.428673006,0.0,,t,f,,2788.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2358,2801,Gliclazide 80mg tablets (Teva UK Ltd),Gliclazide 80mg tablets (Teva UK Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2359,2802,Gliclazide 80mg tablets (Teva UK Ltd),Gliclazide 80mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,28.0,INUK.428673006,0.0,,t,f,,2801.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2369,2812,Gliclazide 80mg tablets (Wockhardt UK Ltd),Gliclazide 80mg tablets (Wockhardt UK Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2370,2813,Gliclazide 80mg tablets (Wockhardt UK Ltd),Gliclazide 80mg tablets (Wockhardt UK Ltd) 60 tablet,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,60.0,INUK.428673006,0.0,,t,f,,2812.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2429,2886,Gliclazide 80mg tablets (Viatris UK Healthcare Ltd),Gliclazide 80mg tablets (Viatris UK Healthcare Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,159313,2018-10-02,2022-02-10,V
2430,2887,Gliclazide 80mg tablets (Viatris UK Healthcare Ltd),Gliclazide 80mg tablets (Viatris UK Healthcare Ltd) 60 tablet3 x 20 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,60.0,INUK.428673006,0.0,,t,f,,2886.0,0.0,,UK,IN,D ,159313,2018-10-02,2022-02-10,V
2431,2888,Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd),Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2432,2889,Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd),Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd) 60 tablet3 x 20 tablets,,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,60.0,INUK.428673006,0.0,,t,f,,2888.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
2433,2890,Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd),Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd),,INUK.1886,A10BB09,,80.0,INUK.258684004,0.0,,0.0,,0.0,,0.0,,t,f,,2774.0,0.0,,UK,IN,D ,66431,2018-10-02,2020-05-04,V
