,product_id,short_name,long_name,brand_name,product_molecule_code,product_atc_code,product_ephmra_code,dosage_1,product_dosage_unit_code_1,dosage_2,product_dosage_unit_code_2,dosage_3,product_dosage_unit_code_3,dose_1,product_dose_unit_code_1,dose_2,product_dose_unit_code_2,is_generic,is_dci,substitute_product_id,parent_product_id,dose,product_dose_unit_code,country_code,platform_code,data_source_code,job_id,created_date,updated_date,status_code
332793,342165,Galvus 50mg tablets (CST Pharma Ltd),Galvus 50mg tablets (CST Pharma Ltd),Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,0,,0,,f,f,,100988,0,,UK,IN,D ,66431,16/08/2019,04/05/2020,V
334793,344299,Galvus 50mg tablets (CST Pharma Ltd),Galvus 50mg tablets (CST Pharma Ltd) 60 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,60,INUK.428673006,0,,f,f,,342165,0,,UK,IN,D ,66431,05/12/2019,04/05/2020,V
337772,347322,Galvus 50mg tablets (CST Pharma Ltd),Galvus 50mg tablets (CST Pharma Ltd) 56 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,56,INUK.428673006,0,,f,f,,342165,0,,UK,IN,D ,66431,12/02/2020,04/05/2020,V
149717,155468,Galvus 50mg tablets (DE Pharmaceuticals),Galvus 50mg tablets (DE Pharmaceuticals),Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,0,,0,,f,f,,100988,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
149718,155469,Galvus 50mg tablets (DE Pharmaceuticals),Galvus 50mg tablets (DE Pharmaceuticals) 56 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,56,INUK.428673006,0,,f,f,,155468,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
366068,366973,Galvus 50mg tablets (DE Pharmaceuticals),Galvus 50mg tablets (DE Pharmaceuticals) 60 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,60,INUK.428673006,0,,f,f,,155468,0,,UK,IN,D ,159313,10/02/2022,10/02/2022,V
367088,367818,Galvus 50mg tablets (DE Pharmaceuticals),Galvus 50mg tablets (DE Pharmaceuticals) 30 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,30,INUK.428673006,0,,f,f,,155468,0,,UK,IN,D ,161171,10/03/2022,10/03/2022,V
131835,137174,Galvus 50mg tablets (Mawdsley-Brooks & Company Ltd),Galvus 50mg tablets (Mawdsley-Brooks & Company Ltd),Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,0,,0,,f,f,,100988,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
131836,137175,Galvus 50mg tablets (Mawdsley-Brooks & Company Ltd),Galvus 50mg tablets (Mawdsley-Brooks & Company Ltd) 56 tablet,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,56,INUK.428673006,0,,f,f,,137174,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96429,100989,Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd),Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd),Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,0,,0,,f,f,,100988,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
96430,100990,Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd),Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets,Galvus,INUK.2507,A10BH02,,50,INUK.258684004,0,,0,,56,INUK.428673006,0,,f,f,,100989,0,,UK,IN,D ,66431,02/10/2018,04/05/2020,V
